Fecha;IA14;IA7;Casosacumulados;Var.;Fallecidos;Var.
18/03/2022;35;16;3700484;0;99829;0
17/03/2022;38;19;3700484;1681;99829;62
16/03/2022;39;19;3698803;1980;99767;40
15/03/2022;39;19;3696823;1648;99727;2
14/03/2022;39;18;3695175;671;99725;0
13/03/2022;39;19;3694504;972;99725;13
12/03/2022;39;19;3693532;1570;99712;3
11/03/2022;41;19;3691962;1671;99709;28
10/03/2022;41;20;3690291;1868;99681;25
09/03/2022;42;20;3688423;1867;99656;31
08/03/2022;45;20;3686556;1436;99625;16
07/03/2022;46;20;3685120;801;99609;66
06/03/2022;47;20;3684319;1147;99543;0
05/03/2022;48;20;3683172;1735;99543;26
04/03/2022;49;21;3681437;1898;99517;18
03/03/2022;50;22;3679539;1853;99499;41
02/03/2022;52;23;3677686;1995;99458;28
01/03/2022;55;25;3675691;1649;99430;18
28/02/2022;57;26;3674042;785;99412;183
27/02/2022;57;27;3673257;1266;99229;38
26/02/2022;58;27;3671991;2320;99191;46
25/02/2022;58;27;3669671;2111;99145;127
24/02/2022;60;28;3667560;2411;99018;40
23/02/2022;61;30;3665149;3117;98978;110
22/02/2022;66;31;3662032;2334;98868;64
21/02/2022;63;31;3659698;1151;98804;137
20/02/2022;63;31;3658547;1456;98667;50
19/02/2022;64;31;3657091;2267;98617;319
18/02/2022;71;31;3654824;2800;98298;343
17/02/2022;66;31;3652024;3056;97955;435
16/02/2022;66;32;3648968;3699;97520;89
15/02/2022;67;35;3645269;2364;97431;181
14/02/2022;69;32;3642905;1094;97250;257
13/02/2022;69;33;3641811;1649;96993;8
12/02/2022;70;33;3640162;2489;96985;134
11/02/2022;72;39;3637673;2862;96851;146
10/02/2022;74;34;3634811;3169;96705;203
09/02/2022;75;34;3631642;5628;96502;213
08/02/2022;73;32;3626014;824;96289;268
07/02/2022;77;36;3625190;1228;96021;186
06/02/2022;78;37;3623962;1752;95835;18
05/02/2022;78;38;3622210;6135;95817;272
04/02/2022;72;32;3616075;0;95545;0
03/02/2022;79;39;3616075;3266;95545;82
02/02/2022;88;41;3612809;4502;95463;175
01/02/2022;80;41;3608307;3085;95288;195
31/01/2022;81;41;3605222;1366;95093;71
30/01/2022;81;41;3603856;2226;95022;117
29/01/2022;82;40;3601630;3342;94905;121
28/01/2022;84;40;3598288;3789;94784;133
27/01/2022;87;39;3594499;4100;94651;160
26/01/2022;90;47;3590399;4511;94491;94
25/01/2022;94;39;3585888;3197;94397;-228
24/01/2022;99;40;3582691;1332;94625;448
23/01/2022;101;40;3581359;1931;94177;114
22/01/2022;106;42;3579428;3049;94063;114
21/01/2022;114;44;3576379;3519;93949;103
20/01/2022;125;48;3572860;8282;93846;275
19/01/2022;127;43;3564578;0;93571;0
18/01/2022;148;56;3564578;3657;93571;120
17/01/2022;156;59;3560921;1629;93451;87
16/01/2022;158;61;3559292;2659;93364;86
15/01/2022;161;64;3556633;4590;93278;161
14/01/2022;171;70;3552043;5235;93117;128
13/01/2022;183;77;3546808;5917;92989;159
12/01/2022;196;84;3540891;6760;92830;181
11/01/2022;200;92;3534131;5668;92649;119
10/01/2022;203;97;3528463;2409;92530;77
09/01/2022;205;98;3526054;4482;92453;82
08/01/2022;207;98;3521572;7759;92371;119
07/01/2022;220;101;3513813;9259;92252;140
06/01/2022;238;106;3504554;9858;92112;551
05/01/2022;258;111;3494696;11106;91561;110
04/01/2022;276;108;3483590;8078;91451;139
03/01/2022;290;106;3475512;3076;91312;84
02/01/2022;300;107;3472436;4357;91228;30
01/01/2022;320;110;3468079;9793;91198;53
31/12/2021;331;119;3458286;11754;91145;84
30/12/2021;348;132;3446532;12978;91061;126
29/12/2021;369;147;3433554;9020;90935;81
28/12/2021;401;169;3424534;7216;90854;25
27/12/2021;431;184;3417318;3778;90829;15
26/12/2021;449;192;3413540;5603;90814;41
25/12/2021;507;210;3407937;14828;90773;30
24/12/2021;512;213;3393109;18847;90743;81
23/12/2021;512;216;3374262;21156;90662;75
22/12/2021;514;223;3353106;21098;90587;99
21/12/2021;512;232;3332008;15423;90488;35
20/12/2021;508;248;3316585;8511;90453;105
19/12/2021;504;256;3308074;15465;90348;3
18/12/2021;496;297;3292609;16080;90345;48
17/12/2021;497;299;3276529;20713;90297;35
16/12/2021;488;296;3255816;24785;90262;36
15/12/2021;464;292;3231031;26389;90226;54
14/12/2021;431;280;3204642;23857;90172;24
13/12/2021;396;260;3180785;13288;90148;11
12/12/2021;376;248;3167497;37875;90137;21
11/12/2021;312;199;3129622;17153;90116;36
10/12/2021;287;197;3112469;19017;90080;20
09/12/2021;257;192;3093452;22388;90060;22
08/12/2021;221;172;3071064;19842;90038;36
07/12/2021;187;152;3051222;13147;90002;27
06/12/2021;197;136;3038075;6381;89975;9
05/12/2021;186;128;3031694;11125;89966;1
04/12/2021;167;113;3020569;16366;89965;21
03/12/2021;138;89;3004203;16055;89944;29
02/12/2021;111;65;2988148;11535;89915;44
01/12/2021;91;48;2976613;8561;89871;28
30/11/2021;76;35;2968052;4373;89843;21
29/11/2021;69;61;2963679;2273;89822;25
28/11/2021;65;58;2961406;2858;89797;6
27/11/2021;60;54;2958548;3220;89791;8
26/11/2021;55;49;2955328;2828;89783;12
25/11/2021;50;46;2952500;2465;89771;114
24/11/2021;46;42;2950035;1275;89657;22
23/11/2021;45;41;2948760;18586;89635;51
22/11/2021;11;7;2930174;312;89584;10
21/11/2021;11;7;2929862;687;89574;2
20/11/2021;10;6;2929175;887;89572;10
19/11/2021;9;5;2928288;789;89562;7
18/11/2021;8;5;2927499;585;89555;40
17/11/2021;8;4;2926914;566;89515;11
16/11/2021;7;4;2926348;273;89504;15
15/11/2021;7;4;2926075;136;89489;5
14/11/2021;7;4;2925939;262;89484;8
13/11/2021;7;4;2925677;306;89476;7
12/11/2021;7;4;2925371;393;89469;17
11/11/2021;7;4;2924978;356;89452;17
10/11/2021;7;3;2924622;305;89435;48
09/11/2021;8;4;2924317;245;89387;35
08/11/2021;8;3;2924072;116;89352;20
07/11/2021;8;3;2923956;205;89332;13
06/11/2021;8;3;2923751;358;89319;24
05/11/2021;8;3;2923393;339;89295;44
04/11/2021;9;4;2923054;319;89251;31
03/11/2021;9;4;2922735;344;89220;23
02/11/2021;9;4;2922391;169;89197;18
01/11/2021;10;4;2922222;106;89179;2
